,Close,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil
1984-11-26 16:00:00,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-27 16:00:00,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-28 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-29 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-30 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-03 16:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-04 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-05 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-06 16:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-07 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-10 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-11 16:00:00,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-12 16:00:00,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-13 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-14 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-17 16:00:00,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-18 16:00:00,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-19 16:00:00,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-20 16:00:00,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-21 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-24 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-26 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-27 16:00:00,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-28 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-02 16:00:00,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-03 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-04 16:00:00,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-07 16:00:00,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-08 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-09 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-10 16:00:00,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-11 16:00:00,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-14 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-15 16:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-16 16:00:00,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-17 16:00:00,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-18 16:00:00,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-21 16:00:00,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-01-22 16:00:00,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,
